eV	counts/s
15.82756	854
15.84056	962
15.85356	980
15.86656	875
15.87956	869
15.89256	853
15.90556	854
15.91856	841
15.93156	798
15.94456	762
15.95756	707
15.97056	682
15.98356	677
15.99656	668
16.00956	585
16.02256	518
16.03556	525
16.04856	505
16.06156	503
16.07456	410
16.08756	410
16.10056	405
16.11356	373
16.12656	288
16.13956	314
16.15256	325
16.16556	279
16.17856	270
16.19156	231
16.20456	197
16.21756	174
16.23056	173
16.24356	166
16.25656	143
16.26956	168
16.28256	132
16.29556	187
16.30856	233
16.32156	180
16.33456	142
16.34756	147
16.36056	190
16.37356	206
16.38656	168
16.39956	156
16.41256	139
16.42556	164
16.43856	131
16.45156	189
16.46456	163
16.47756	182
16.49056	108
16.50356	40
16.51656	45
16.52956	65
16.54256	181
16.55556	144
16.56856	63
16.58156	90
16.59456	92
16.60756	49
16.62056	169
16.63356	80
16.64656	113
16.65956	39
16.67256	92
16.68556	73
16.69856	3
16.71156	70
16.72456	44
16.73756	101
16.75056	43
16.76356	106
16.77656	64
16.78956	70
16.80256	28
16.81556	137
16.82856	78
16.84156	131
16.85456	130
16.86756	82
16.88056	25
16.89356	64
16.90656	11
16.91956	69
16.93256	41
16.94556	55
16.95856	107
16.97156	37
16.98456	51
16.99756	22
17.01056	-67
17.02356	-27
17.03656	65
17.04956	75
17.06256	80
17.07556	79
17.08856	30
17.10156	45
17.11456	59
17.12756	44
17.14056	64
17.15356	86
17.16656	39
17.17956	47
17.19256	31
17.20556	15
17.21856	83
17.23156	42
17.24456	36
17.25756	86
17.27056	65
17.28356	32
17.29656	11
17.30956	46
17.32256	74
17.33556	86
17.34856	34
17.36156	54
17.37456	87
17.38756	77
17.40056	131
17.41356	72
17.42656	26
17.43956	-15
17.45256	78
17.46556	110
17.47856	59
17.49156	44
17.50456	107
17.51756	56
17.53056	-31
17.54356	-23
17.55656	116
17.56956	87
17.58256	11
17.59556	30
17.60856	62
17.62156	45
17.63456	-9
17.64756	9
17.66056	-12
17.67356	18
17.68656	67
17.69956	78
17.71256	-37
17.72556	29
17.73856	-3
17.75156	-27
17.76456	55
17.77756	52
17.79056	46
17.80356	29
17.81656	50
17.82956	-42
17.84256	111
17.85556	31
17.86856	-37
17.88156	-154
17.89456	-14
17.90756	-158
17.92056	17
17.93356	21
17.94656	55
17.95956	57
17.97256	-8
17.98556	53
17.99856	57
18.01156	-16
18.02457	-11
18.03757	-28
18.05057	-24
18.06357	63
18.07657	51
18.08957	-20
18.10257	-37
18.11557	7
18.12857	-30
18.14157	-62
18.15457	-48
18.16757	-27
18.18057	77
18.19357	142
18.20657	71
18.21957	62
18.23257	23
18.24557	9
18.25857	14
18.27157	-53
18.28457	-37
18.29757	8
18.31057	25
18.32357	-11
18.33657	-48
18.34957	-58
18.36257	36
18.37557	17
18.38857	23
18.40157	0
18.41457	8
18.42757	-9
18.44057	14
18.45357	40
18.46657	38
18.47957	-10
18.49257	-32
18.50557	-31
18.51857	26
18.53157	67
18.54457	34
18.55757	19
18.57057	-53
18.58357	-44
18.59657	69
18.60957	79
18.62257	43
18.63557	43
18.64857	3
