x,y
0,0
0.036141012,0
0.072282023,0
0.108423035,0
0.144564047,0
0.180705058,0
0.21684607,0
0.252987082,0
0.289128094,0
0.325269105,0
0.361410117,0
0.397551129,0
0.43369214,0
0.469833152,0
0.505974164,0
0.542115175,0
0.578256187,0
0.614397199,0
0.65053821,0
0.686679222,0
0.722820234,0
0.758961245,0
0.795102257,0
0.831243269,0
0.867384281,0
0.903525292,0
0.939666304,0
0.975807316,0
1.011948327,0
1.048089339,0
1.084230351,0
1.120371362,0
1.156512374,0
1.192653386,0
1.228794397,0
1.264935409,0
1.301076421,0
1.337217432,0
1.373358444,0
1.409499456,0
1.445640468,0
1.481781479,0
1.517922491,0
1.554063503,0
1.590204514,0
1.626345526,0
1.662486538,0
1.698627549,0
1.734768561,0
1.770909573,0
1.807050584,0
1.843191596,0
1.879332608,0
1.91547362,0
1.951614631,0
1.987755643,0
2.023896655,0
2.060037666,0
2.096178678,0
2.13231969,0
2.168460701,0
2.204601713,0
2.240742725,0
2.276883736,0
2.313024748,0
2.34916576,0
2.385306771,0
2.421447783,0
2.457588795,0
2.493729807,0
2.529870818,0
2.56601183,0
2.602152842,0
2.638293853,0
2.674434865,0
2.710575877,0
2.746716888,0
2.7828579,2.99024E-06
2.818998912,2.17E-06
2.855139923,1.03101E-05
2.891280935,1.67059E-05
2.927421947,2.18246E-05
2.963562958,2.72029E-05
2.99970397,4.11054E-05
3.035844982,5.51637E-05
3.071985994,6.50066E-05
3.108127005,7.24095E-05
3.144268017,9.52932E-05
3.180409029,0.000119973
3.21655004,0.000143999
3.252691052,0.00015759
3.288832064,0.000189008
3.324973075,0.000213065
3.361114087,0.000240195
3.397255099,0.000269516
3.43339611,0.000312158
3.469537122,0.000347325
3.505678134,0.000377985
3.541819146,0.000421842
3.577960157,0.000466426
3.614101169,0.000510926
3.650242181,0.000561532
3.686383192,0.000613633
3.722524204,0.000664446
3.758665216,0.000725092
3.794806227,0.000781699
3.830947239,0.000849748
3.867088251,0.000924784
3.903229262,0.000997962
3.939370274,0.001072334
3.975511286,0.001148367
4.011652297,0.001239455
4.047793309,0.001323638
4.083934321,0.001416543
4.120075333,0.001515367
4.156216344,0.001620171
4.192357356,0.001722867
4.228498368,0.001836132
4.264639379,0.001943573
4.300780391,0.002065675
4.336921403,0.002192272
4.373062414,0.002318039
4.409203426,0.00246155
4.445344438,0.002598093
4.481485449,0.002749049
4.517626461,0.0029064
4.553767473,0.003080716
4.589908484,0.003234018
4.626049496,0.003416184
4.662190508,0.003590542
4.69833152,0.003781606
4.734472531,0.003982077
4.770613543,0.00417203
4.806754555,0.004374255
4.842895566,0.004602064
4.879036578,0.004823497
4.91517759,0.005058428
4.951318601,0.005296277
4.987459613,0.005535735
5.023600625,0.005806425
5.059741636,0.00607077
5.095882648,0.006353389
5.13202366,0.006642446
5.168164672,0.006943131
5.204305683,0.007259287
5.240446695,0.007578557
5.276587707,0.007911949
5.312728718,0.008248143
5.34886973,0.008612371
5.385010742,0.008972446
5.421151753,0.009355882
5.457292765,0.009748766
5.493433777,0.01015899
5.529574788,0.010578558
5.5657158,0.01103052
5.601856812,0.011506363
5.637997823,0.011990097
5.674138835,0.012491897
5.710279847,0.013016227
5.746420859,0.013570045
5.78256187,0.014160202
5.818702882,0.014781715
5.854843894,0.015421398
5.890984905,0.016091814
5.927125917,0.016811341
5.963266929,0.017537305
5.99940794,0.018310718
6.035548952,0.019122133
6.071689964,0.019944656
6.107830975,0.020794487
6.143971987,0.021698204
6.180112999,0.022629955
6.21625401,0.023605625
6.252395022,0.024618569
6.288536034,0.025676055
6.324677046,0.026758771
6.360818057,0.027890287
6.396959069,0.029056792
6.433100081,0.030275834
6.469241092,0.031517615
6.505382104,0.032783172
6.541523116,0.034145393
6.577664127,0.035526199
6.613805139,0.037544611
6.649946151,0.039245414
6.686087162,0.040768568
6.722228174,0.042416938
6.758369186,0.044093758
6.794510198,0.045815638
6.830651209,0.047564306
6.866792221,0.049449196
6.902933233,0.051322041
6.939074244,0.05326466
6.975215256,0.055247252
7.011356268,0.057275632
7.047497279,0.059409189
7.083638291,0.061534337
7.119779303,0.063814707
7.155920314,0.066038179
7.192061326,0.068427257
7.228202338,0.070848833
7.264343349,0.073347241
7.300484361,0.075910749
7.336625373,0.078481007
7.372766385,0.081073587
7.408907396,0.083708529
7.445048408,0.08651188
7.48118942,0.089280137
7.517330431,0.092180981
7.553471443,0.095120762
7.589612455,0.09810633
7.625753466,0.101229159
7.661894478,0.10434607
7.69803549,0.10755954
7.734176501,0.110814542
7.770317513,0.11417441
7.806458525,0.117591383
7.842599536,0.120952289
7.878740548,0.124395219
7.91488156,0.12797624
7.951022572,0.131587371
7.987163583,0.135294023
8.023304595,0.139000676
8.059445607,0.142709405
8.095586618,0.146609177
8.13172763,0.15055671
8.167868642,0.154390033
8.204009653,0.158426858
8.240150665,0.162407616
8.276291677,0.166516082
8.312432688,0.170625586
8.3485737,0.174800502
8.384714712,0.179001375
8.420855723,0.183380832
8.456996735,0.187753021
8.493137747,0.1920463
8.529278759,0.196551389
8.56541977,0.201009754
8.601560782,0.205550144
8.637701794,0.210134142
8.673842805,0.21474202
8.709983817,0.219388314
8.746124829,0.224043953
8.78226584,0.228613414
8.818406852,0.233389493
8.854547864,0.238069012
8.890688875,0.242868972
8.926829887,0.247760299
8.962970899,0.252563373
8.999111911,0.257385137
9.035252922,0.262184058
9.071393934,0.267129376
9.107534946,0.271936603
9.143675957,0.276964984
9.179816969,0.281935221
9.215957981,0.286779826
9.252098992,0.291791594
9.288240004,0.29652095
9.324381016,0.301394628
9.360522027,0.306280764
9.396663039,0.311365211
9.432804051,0.316115333
9.468945062,0.321024312
9.505086074,0.325724597
9.541227086,0.330811121
9.577368098,0.335696219
9.613509109,0.34096548
