x,y
0.0526,0.0011
0.1050,0.0061
0.1524,0.0110
0.2048,0.0163
0.2544,0.0215
0.3050,0.0269
0.4078,0.0381
0.5101,0.0493
0.7613,0.0770
1.0136,0.1049
1.5547,0.1653
2.0426,0.2130
2.5476,0.2669
3.2692,0.3441
3.8036,0.4011
4.3290,0.4561
5.2562,0.5520
6.2608,0.6507
7.2783,0.7569
8.2803,0.8559
9.3191,0.9540
10.3477,1.0449
15.2310,1.4638
20.3670,1.8471
25.5546,2.1801
30.7297,2.4675
35.3154,2.6874
40.4222,2.9019
45.5548,3.0909
50.6663,3.2619
55.7755,3.4110
60.8841,3.5449
65.9845,3.6677
71.0761,3.7752
76.1412,3.8761
81.2729,3.9733
86.3228,4.0615
91.3853,4.1463
96.4436,4.2253
