minutes,qt
0.0,0.0
0.05433333333333333,0.05229932012269574
0.10868333333333333,0.10461468298162543
0.16328333333333334,0.15717068688406446
0.21761666666666668,0.20947000700676022
0.27196666666666663,0.26178536986568984
0.3263,0.3140846899883856
0.38089999999999996,0.3666406938908246
0.43523333333333336,0.41894001401352043
0.4895833333333333,0.47125537687245006
0.5439166666666666,0.5235546969951458
0.5985166666666667,0.5761107008975849
0.6528666666666666,0.6284260637565144
0.7071999999999999,0.6807253838792102
0.7612833333333333,0.7327840629583966
0.8156166666666667,0.7850833830810924
0.8702166666666666,0.8376393869835315
0.9245666666666666,0.8899547498424611
0.9788999999999999,0.9422540699651567
1.0334999999999999,0.9948100738675958
1.0881,1.047366077770035
1.1421833333333333,1.0994247568492213
1.1965166666666667,1.151724076971917
1.2511166666666667,1.2042800808743561
1.3054666666666668,1.256595443733286
1.3598000000000001,1.3088947638559816
1.4143999999999999,1.3614507677584204
1.4687333333333332,1.4137500878811162
1.5230833333333333,1.4660654507400461
1.5776833333333333,1.518621454642485
1.6322833333333335,1.5711774585449243
1.6863666666666668,1.6232361376241107
1.7401833333333334,1.6750381329235537
1.7955666666666665,1.7283481454289884
1.8506833333333332,1.7814014741546802
1.9058,1.8344548028803718
1.9609166666666666,1.8875081316060636
2.01605,1.9405775030679888
2.0711666666666666,1.9936308317936806
2.1262833333333337,2.046684160519373
2.1813999999999996,2.0997374892450638
2.2367833333333333,2.153047501750499
2.2919,2.206100830476191
2.3470166666666668,2.2591541592018825
2.4024,2.3124641717073176
2.4575166666666663,2.3655175004330085
2.5129,2.418827512938444
2.568016666666667,2.471880841664136
2.6231500000000003,2.5249502131260613
2.6782666666666666,2.5780035418517526
2.7333833333333333,2.6310568705774444
2.7885,2.684110199303136
2.843616666666667,2.737163528028828
2.89875,2.790232899490754
2.9541166666666667,2.8435268692599545
3.0095,2.8968368817653896
3.0646166666666668,2.9498902104910814
3.1197500000000002,3.002959581953007
3.174866666666667,3.0560129106786986
3.2299833333333337,3.1090662394043904
3.285366666666667,3.1623762519098255
3.3404833333333332,3.2154295806355164
3.3956,3.268482909361208
3.4507166666666667,3.3215362380869
3.50585,3.374605609548826
3.5612166666666667,3.4278995793180265
3.6163499999999997,3.480968950779952
3.6714666666666664,3.5340222795056437
3.726583333333333,3.5870756082313355
3.7817000000000003,3.6401289369570273
3.8368166666666665,3.6931822656827187
3.8922000000000003,3.746492278188154
3.9473333333333334,3.7995616496500793
4.0024500000000005,3.8526149783757715
4.057566666666667,3.905668307101463
4.112683333333333,3.9587216358271538
4.1678,4.0117749645528455
4.222933333333333,4.0648443360147715
4.2780499999999995,4.117897664740463
4.333433333333333,4.1712076772458975
4.3885499999999995,4.22426100597159
4.443666666666667,4.277314334697282
4.498783333333334,4.330367663422974
4.5539000000000005,4.3834209921486655
4.6090333333333335,4.436490363610591
4.66415,4.489543692336283
4.719266666666667,4.542597021061974
4.77465,4.595907033567409
4.829766666666667,4.648960362293101
4.884883333333334,4.702013691018792
4.9399999999999995,4.755067019744484
4.9951333333333325,4.808136391206409
5.05025,4.861189719932101
5.105366666666667,4.914243048657792
5.1604833333333335,4.967296377383485
5.215866666666667,5.02060638988892
5.270983333333334,5.0736597186146115
5.326099999999999,5.126713047340302
5.381233333333333,5.179782418802228
5.43635,5.23283574752792
5.491466666666668,5.285889076253612
5.546583333333333,5.338942404979303
5.601699999999999,5.391995733704994
5.6570833333333335,5.445305746210431
5.712199999999999,5.498359074936121
5.767333333333334,5.551428446398048
5.82245,5.604481775123738
5.877833333333333,5.657791787629174
5.93295,5.710845116354866
5.988066666666667,5.763898445080557
6.043183333333333,5.816951773806248
6.098316666666666,5.870021145268174
6.153433333333333,5.923074473993866
6.208550000000001,5.976127802719558
6.263933333333333,6.029437815224993
6.319050000000001,6.082491143950684
6.3741666666666665,6.135544472676376
6.429550000000001,6.188854485181812
6.484666666666667,6.241907813907503
6.539783333333332,6.294961142633193
6.595166666666667,6.3482711551386295
6.650283333333333,6.40132448386432
6.705416666666666,6.454393855326246
6.760533333333332,6.507447184051936
6.815650000000001,6.56050051277763
6.871033333333332,6.613810525283064
6.926416666666666,6.667120537788499
6.981533333333333,6.720173866514191
7.03665,6.773227195239882
7.092033333333333,6.826537207745318
7.14715,6.87959053647101
7.202266666666666,6.932643865196701
7.25765,6.985953877702135
7.312766666666666,7.039007206427827
7.367883333333334,7.092060535153521
7.423016666666666,7.145129906615445
7.478133333333334,7.198183235341137
7.53325,7.251236564066828
7.5883666666666665,7.30428989279252
7.643483333333334,7.357343221518212
7.698866666666666,7.410653234023645
7.7540000000000004,7.463722605485572
7.809116666666666,7.516775934211264
7.864233333333334,7.569829262936956
7.91935,7.622882591662647
7.974733333333334,7.676192604168083
8.02985,7.7292459328937735
8.084966666666666,7.782299261619466
8.1401,7.835368633081391
8.195216666666667,7.888421961807083
8.250333333333334,7.941475290532774
8.305716666666667,7.99478530303821
8.360833333333334,8.047838631763902
8.41595,8.100891960489594
8.471066666666667,8.153945289215285
8.5262,8.207014660677208
8.581316666666668,8.260067989402902
8.636433333333335,8.313121318128594
8.691550000000001,8.366174646854287
8.746933333333335,8.419484659359721
8.802050000000001,8.472537988085412
8.857166666666666,8.525591316811102
8.912033333333333,8.578404004493285
8.96715,8.631457333218977
9.022533333333334,8.684767345724412
9.07765,8.737820674450104
9.132766666666667,8.790874003175796
9.1879,8.843943374637721
9.243016666666668,8.896996703363413
9.298133333333334,8.950050032089106
9.353250000000001,9.003103360814798
9.408366666666666,9.056156689540487
